created_at,Group Size
2021-06-01,4
2021-06-02,3
2021-06-03,8
2021-06-04,5
2021-06-05,6
2021-06-06,3
2021-06-07,7
2021-06-08,10
2021-06-09,3
2021-06-10,1
2021-06-11,13
2021-06-12,3
2021-06-13,5
2021-06-14,7
2021-06-15,11
2021-06-16,7
2021-06-17,4
2021-06-18,3
2021-06-19,2
2021-06-20,5
2021-06-21,2
2021-06-22,2
2021-06-23,7
2021-06-24,2
2021-06-25,5
2021-06-26,7
2021-06-27,8
2021-06-28,8
2021-06-29,11
2021-06-30,13
