screen_name,created_at,text
skaigr,2021-06-29,Επιτροπή Εμβολιασμών: Σύσταση για εμβολιασμό εφήβων 16-17 ετών και παιδιών με υποκείμενα νοσήματα   #Ελλάδα #Εθνική_Επιτροπή_Εμβολιασμών #κορωνοϊός #παιδιά https://t.co/6shP0xzuY9
skaigr,2021-06-29,"Διαβάθμιση χώρων, «διχασμός» και δικαιώματα: Τι απαντούν Γεραπετρίτης - Γεωργιάδης  #Πολιτική #Γιώργος_Γεραπετρίτης #εμβολιασμός #Άδωνις_Γεωργιάδης https://t.co/fXmLwvNvBP"
skaigr,2021-06-29,"Γεωργιάδης: Χωρίς μάσκα σε κλειστούς χώρους οι εμβολιασμένοι- Τι ισχύει σε εστίαση, ψυχαγωγία, γήπεδα   #Πολιτική #Άδωνις_Γεωργιάδης #προνόμια #εμβολιασμένοι #εστίαση https://t.co/aExHvwUDjw"
skaigr,2021-06-29,"Γεραπετρίτης: Πώς θα λειτουργούν αμιγείς και μεικτοί χώροι – Σήμανση στην είσοδο, πρόστιμα  #Πολιτική #Γιώργος_Γεραπετρίτης #προνόμια #εμβολιασμένοι https://t.co/HKZUYDAOcD"
skaigr,2021-06-29,Θεμιστοκλέους σε ΣΚΑΪ: Εφικτός ο εμβολιασμός του 70% έως τέλος καλοκαιριού  #Ελλάδα #εμβόλια #ΘΕΜΙΣΤΟΚΛΕΟΥΣ #κορωνοϊός https://t.co/9S4wARnyeY
skaigr,2021-06-29,Έκρηξη των ραντεβού για εμβολιασμό στους 18 – 25 μετά το Freedom Pass  #Ελλάδα #Freedom_Pass #εμβολιασμός #νέοι https://t.co/8EvDlP8dfS
skaigr,2021-06-29,"Ρεπορτάζ ΣΚΑΪ: Οι αμιγείς και οι μεικτοί χώροι σε εστίαση, ψυχαγωγία-Πότε αλλάζουν όλα    #Ελλάδα #προνόμια #εστίαση #ψυχαγωγία #εμβολιασμένοι https://t.co/oVlKdS10gE"
skaigr,2021-06-29,"Πώς θα καθυστερήσει η κυριαρχία της μετάλλαξης Δέλτα: Εξηγούν Εξαδάκτυλος, Μανωλόπουλος σε ΣΚΑΪ  #Ελλάδα #μετάλλαξη_Δέλτα #κορωνοϊός #εμβόλια https://t.co/FFSW7WOtNJ"
skaigr,2021-06-29,Τί δείχνει έρευνα για «κοκτέιλ» εμβολίων: Ποιος είναι ο καλύτερος συνδυασμός δόσεων   #Υγεία #εμβόλια #κορωνοϊός #Pfizer #AstraZeneca https://t.co/XW0FBTuMcO
skaigr,2021-06-29,Προνόμια εμβολιασμένων: Στις 12.30 οι ανακοινώσεις για την εστίαση από Γεωργιάδη - Γεραπετρίτη  #Ελλάδα #εστίαση #ανακοίνωση #προνόμια #Άδωνις_Γεωργιάδης #Γιώργος_Γεραπετρίτης https://t.co/4rAmCSZS49
skaigr,2021-06-29,Λος Άντζελες: Σύσταση για μάσκα σε κλειστούς χώρους και από εμβολιασμένους λόγω μετάλλαξης Δ'  #Υγεία #ΗΠΑ #Λος_Άντζελες #μάσκα #μετάλλαξη_Δέλτα https://t.co/iNRgByty86
skaigr,2021-06-29,"Προνόμια εμβολιασμένων: Μετά το freedom pass τι; Έρχονται ανακοινώσεις για εστίαση, ψυχαγωγία  #Ελλάδα #προνόμια #εμβολιασμός #Freedom_Pass https://t.co/OPJuMNQcaS"
skaigr,2021-06-28,Μαγιορκίνης- ΣΚΑΪ: Πιθανός εμβολιασμός παιδιών κοντά σε πανελλήνιες-Ποιά εμβόλια προστατεύουν από μετάλλαξη Δ  #Υγεία #μαγιορκίνης #κορωνοϊός #πανδημία #μετάλλαξη_Δέλτα #εμβόλια #πανελλήνιες https://t.co/I9WVUWNk1s
skaigr,2021-06-28,Τα προνόμια για εμβολιασμένους: Οι «δύο ταχύτητες» σε εστίαση και ψυχαγωγία   #Ελλάδα #προνόμια #εμβολιασμένοι #ψυχαγωγία #εστίαση #γήπεδα https://t.co/TvjVZBBjqR
skaigr,2021-06-28,Νέα Notam ΥΠΑ: Αυστηρότερα μέτρα για τους Ρώσους τουρίστες – Τεστ και στους εμβολιασμένους   #Ελλάδα #ΥΠΑ #πτήσεις #Ρώσοι #κορωνοϊός #COVID #τουρίστες https://t.co/GrSXz2EVPD
skaigr,2021-06-28,Κορωνοϊός- Θεμιστοκλέους:  Πως θα γίνουν οι κατ' οίκον εμβολιασμοί- Η αμοιβή των γιατρών   #Ελλάδα #ΘΕΜΙΣΤΟΚΛΕΟΥΣ #κορωνοϊός #εμβόλια https://t.co/vjP1o69Sxb
skaigr,2021-06-28,«Η τύχη του νησιού σου είναι στο χέρι σου»: Καμπάνια εμβολιασμού από την Περιφέρεια Νοτίου Αιγαίου  #Ελλάδα #καμπάνια #Περιφέρεια_Νότιου_Αιγαίου #Κυκλάδες #Δωδεκάνησα https://t.co/dsb5m3aA3c
